order_id,customer_id,order_date,product_id,quantity,unit_price,payment_status
1001,C001,2026-06-01,P001,2,150.00,completed
1002,C002,2026-06-01,P002,1,800.00,pending
1003,C003,2026-06-02,P003,5,25.00,completed
1004,C001,2026-06-02,P002,1,800.00,completed
1005,C004,2026-06-03,P001,1,150.00,failed
1006,C005,2026-06-03,P004,3,45.00,completed
1007,C002,2026-06-04,P003,2,25.00,completed
1008,C006,2026-06-04,P001,4,150.00,COMPLETED
1009,C003,2026-06-05,P002,1,800.00,pending
1010,C001,2026-06-05,P001,2,150.00,completed
1011,C002,2026-06-05,P004,10,45.00,completed
1012,C007,2026-06-06,P003,1,25.00,pending
1013,C004,2026-06-06,P002,1,800.00,failed
1014,C001,2026-06-06,P001,3,150.00,completed
1015,C005,2026-06-06,P003,2,25.00,completed
1016,C001,,P001,1,150.00,completed
1017,C002,2026-06-06,P002,2,-800.00,completed
1018,C002,2026-06-06,P002,2,800.00,completed
1018,C002,2026-06-06,P002,2,800.00,completed
